InventoryID,StoreID,Date,UserID,TimeStamp,UserIDLastUpdated,TimeStampLastUpdated,FinishedFlag
1,16,6/7/2016 0:00,9,6/7/2016 14:35,9,6/7/2016 14:35,0
2,16,6/28/2016 0:00,9,6/28/2016 14:20,9,6/28/2016 14:20,0
3,7,7/26/2016 0:00,24,7/26/2016 7:50,24,7/26/2016 7:50,0
4,17,8/18/2016 0:00,11,8/22/2016 15:51,11,8/22/2016 15:51,0
5,16,9/5/2016 0:00,3,9/9/2016 10:13,3,9/9/2016 10:13,0
6,19,9/7/2016 0:00,2,9/9/2016 10:14,2,9/9/2016 10:14,0
7,16,9/16/2016 0:00,3,9/16/2016 13:56,3,9/16/2016 13:56,0
8,13,9/27/2016 0:00,49,9/27/2016 19:35,49,9/27/2016 19:35,0
9,18,9/29/2016 0:00,80,9/29/2016 9:15,80,9/29/2016 9:15,0
