InventoryID,StoreID,Date,UserID,TimeStamp,UserIDLastUpdated,TimeStampLastUpdated,FinishedFlag
388,16,12/1/2016 0:00,42,11/30/2016 10:43,52,11/30/2016 22:19,1
392,13,12/1/2016 0:00,48,11/30/2016 17:11,48,12/1/2016 18:43,1
393,5,12/1/2016 0:00,66,11/30/2016 23:55,66,11/30/2016 23:56,1
394,9,12/2/2016 0:00,35,12/1/2016 7:29,35,12/2/2016 8:51,1
395,9,12/1/2016 0:00,35,12/1/2016 7:30,35,12/1/2016 7:31,1
396,4,12/1/2016 0:00,34,12/1/2016 8:01,34,12/1/2016 8:02,1
397,19,12/1/2016 0:00,78,12/1/2016 9:22,78,12/1/2016 9:33,1
398,15,12/1/2016 0:00,62,12/1/2016 15:00,62,12/1/2016 15:01,1
399,16,12/2/2016 0:00,14,12/1/2016 16:54,9,12/6/2016 17:49,1
400,5,12/2/2016 0:00,57,12/1/2016 21:51,57,12/1/2016 21:51,0
401,13,12/2/2016 0:00,48,12/1/2016 23:06,48,12/2/2016 22:52,1
402,18,12/2/2016 0:00,32,12/2/2016 7:15,32,12/2/2016 7:16,1
403,4,12/2/2016 0:00,34,12/2/2016 7:38,34,12/2/2016 7:43,1
404,15,12/2/2016 0:00,62,12/2/2016 7:59,62,12/2/2016 8:00,1
405,19,12/2/2016 0:00,78,12/2/2016 9:50,78,12/2/2016 9:57,1
406,7,12/2/2016 0:00,23,12/2/2016 14:11,23,12/2/2016 14:12,1
408,14,12/1/2016 0:00,56,12/2/2016 14:45,56,12/2/2016 14:45,1
409,19,12/3/2016 0:00,78,12/2/2016 21:48,59,12/3/2016 11:55,1
410,16,12/3/2016 0:00,52,12/2/2016 22:51,52,12/2/2016 22:58,1
411,13,12/3/2016 0:00,48,12/2/2016 23:39,48,12/4/2016 14:37,1
412,9,12/3/2016 0:00,35,12/3/2016 8:21,35,12/3/2016 8:30,1
413,15,12/3/2016 0:00,62,12/3/2016 8:25,62,12/3/2016 8:27,1
414,4,12/4/2016 0:00,34,12/3/2016 8:33,34,12/3/2016 8:33,1
415,4,12/3/2016 0:00,34,12/3/2016 8:35,34,12/3/2016 8:35,1
416,6,12/4/2016 0:00,18,12/3/2016 9:21,18,12/3/2016 9:21,0
417,14,12/2/2016 0:00,56,12/3/2016 16:15,56,12/3/2016 16:16,1
418,13,12/4/2016 0:00,49,12/3/2016 16:26,49,12/4/2016 8:16,1
419,16,12/4/2016 0:00,52,12/3/2016 22:15,9,12/6/2016 17:49,1
420,5,12/5/2016 0:00,66,12/4/2016 0:38,66,12/4/2016 23:22,1
421,5,12/4/2016 0:00,66,12/4/2016 0:38,66,12/4/2016 0:39,1
422,19,12/4/2016 0:00,59,12/4/2016 7:22,59,12/4/2016 7:24,1
423,9,12/4/2016 0:00,46,12/4/2016 13:10,46,12/4/2016 13:12,1
424,13,12/5/2016 0:00,48,12/4/2016 14:37,48,12/5/2016 8:19,1
425,4,12/5/2016 0:00,85,12/4/2016 20:01,43,12/5/2016 14:51,1
426,16,12/5/2016 0:00,52,12/4/2016 21:28,52,12/4/2016 21:32,1
427,19,12/5/2016 0:00,59,12/5/2016 7:10,59,12/5/2016 7:18,1
428,9,12/5/2016 0:00,46,12/5/2016 11:18,46,12/5/2016 11:19,1
429,7,12/1/2016 0:00,11,12/5/2016 17:04,11,12/5/2016 17:04,0
430,16,12/6/2016 0:00,52,12/5/2016 21:45,52,12/5/2016 21:51,1
431,13,12/6/2016 0:00,49,12/5/2016 21:50,48,12/6/2016 15:47,1
432,5,12/6/2016 0:00,66,12/5/2016 23:35,66,12/5/2016 23:36,1
433,19,12/6/2016 0:00,59,12/6/2016 7:13,59,12/6/2016 7:14,1
434,9,12/6/2016 0:00,27,12/6/2016 8:26,27,12/6/2016 8:27,1
435,4,12/6/2016 0:00,34,12/6/2016 8:29,34,12/6/2016 8:30,1
436,13,12/7/2016 0:00,48,12/6/2016 21:10,48,12/7/2016 15:49,1
437,14,12/6/2016 0:00,65,12/6/2016 22:51,56,12/7/2016 12:51,1
438,18,12/3/2016 0:00,16,12/7/2016 5:41,16,12/7/2016 5:41,1
439,18,12/4/2016 0:00,16,12/7/2016 5:42,16,12/7/2016 5:53,1
440,18,12/6/2016 0:00,16,12/7/2016 5:43,16,12/7/2016 5:44,1
441,4,12/7/2016 0:00,34,12/7/2016 8:21,34,12/7/2016 8:21,1
442,5,12/7/2016 0:00,57,12/7/2016 12:09,57,12/7/2016 12:10,1
443,14,12/3/2016 0:00,56,12/7/2016 12:48,56,12/7/2016 12:49,1
444,14,12/4/2016 0:00,56,12/7/2016 12:49,56,12/7/2016 12:50,1
445,14,12/5/2016 0:00,56,12/7/2016 12:50,56,12/7/2016 12:51,1
446,16,12/7/2016 0:00,9,12/7/2016 13:18,42,12/11/2016 9:28,1
447,13,12/8/2016 0:00,48,12/7/2016 15:48,48,12/8/2016 8:27,1
448,18,12/7/2016 0:00,16,12/7/2016 16:09,16,12/7/2016 16:09,0
449,19,12/7/2016 0:00,78,12/7/2016 17:14,78,12/7/2016 17:14,0
